"Id";"Entidad";"Origen_Solicitud";"Identificadores_Origen";"Entidad_Norm";"CIF";"CIF_validacion";"Centro";"Centro_Norm";"Tipo";"Provincia_Entidad";"Pais_Entidad";"Provincia_Centro";"PIC";"Tipo_Persona";"Entidad_Match";"Provincia_Match";"Match"
237;"AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC)";"ACT_NAC";600487;"agencia estatal consejo superior de investigaciones cientificas csic";"Q2818002D";"1";"DPTO. BIODIVERSIDAD Y CONSERVACIÓN";"dpto biodiversidad y conservacion";"20501";"";"724,0000";"";"";"";"consejo superior de investigaciones cientificas csic";28;"NIF MCIN"
237;"AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC)";"ACT_NAC";288666;"agencia estatal consejo superior de investigaciones cientificas csic";"Q2818002D";"1";"INSTITUTO DE LA GRASA (IG)";"instituto de la grasa ig";"20501";"";"724,0000";"";"";"";"consejo superior de investigaciones cientificas csic";28;"NIF MCIN"
1886;"FUNDACION PARC TAULI";"ACT_NAC";237506;"fundacion parc tauli";"G60331238";"1";"CORPORACION SANITARIA PARC TAULI";"corporacion sanitaria parc tauli";"29900";"";"724,0000";"";"";"";"fundacio parc tauli";8;"NIF MCIN"
642;"FUNDACION PRODINTEC";"ACT_NAC";10958;"fundacion prodintec";"G33914557";"1";"77";"77";"22001";"";"724,0000";"";"";"";"fundacion idonial";33;"NIF MCIN"
900;"UNIVERSIDAD DE NAVARRA";"ACT_NAC";207701;"universidad de navarra";"R3168001J";"1";"FACULTAD DE FARMACIA Y NUTRICION DE PAMPLONA";"facultad de farmacia y nutricion de pamplona";"20101";"";"724,0000";"";"";"";"universidad de navarra";31;"NIF MCIN"
656;"FUNDACION CENTRO TECNOLOGICO DE COMPONENTES";"ACT_NAC";726704;"fundacion centro tecnologico de componentes";"G39492947";"1";"FUNDACION CENTRO TECNOLOGICO DE COMPONENTES";"fundacion centro tecnologico de componentes";"22001";"";"724,0000";"";"";"";"centro tecnologico de componentes";39;"NIF MCIN"
836;"Universidad Autónoma de Madrid";"ACT_NAC";252910;"universidad autonoma de madrid";"Q2818013A";"1";"Facultad de Ciencias";"facultad de ciencias";"20101";"";"724,0000";"";"";"";"universidad autonoma de madrid";28;"NIF MCIN"
860;"UNIVERSIDAD MIGUEL HERNANDEZ DE ELCHE";"ACT_NAC";752020;"universidad miguel hernandez de elche";"Q5350015C";"1";"FACULTAD DE CIENCIAS EXPERIMENTALES";"facultad de ciencias experimentales";"20101";"";"724,0000";"";"";"";"universidad miguel hernandez de elche";3;"NIF MCIN"
880;"Universidad de Zaragoza";"ACT_NAC";290007;"universidad de zaragoza";"Q5018001G";"1";"77";"77";"20101";"";"724,0000";"";"";"";"universidad de zaragoza";50;"NIF MCIN"
832;"UNIVERSIDAD DE ALCALA";"ACT_NAC";416193;"universidad de alcala";"Q2818018J";"1";"CENTRO DE ALTA TECNOLOGIA Y HOMOLOGACION -CATECHOM-";"centro de alta tecnologia y homologacion catechom";"20101";"";"724,0000";"";"";"";"universidad de alcala";28;"NIF MCIN"
891;"UNIVERSIDAD EUROPEA MIGUEL DE CERVANTES, S.L.";"ACT_NAC";29387;"universidad europea miguel de cervantes s l";"B47511431";"1";"(en blanco)";"en blanco";"29999";"";"724,0000";"";"";"";"universidad europea miguel de cervantes";47;"NOMBRE MCIN"
1866;"Fundación para la Investigación Biomédica del Hospital Universitario Clínico San Carlos";"ACT_NAC";130975;"fundacion para la investigacion biomedica del hospital universitario clinico san carlos";"G83727115";"1";"INSTITUTO DE INVESTIGACION SANITARIA DEL HOSPITAL CLINICO SAN CARLOS (IdISSC)";"instituto de investigacion sanitaria del hospital clinico san carlos idissc";"29900";"";"724,0000";"";"";"";"fundacion para la investigacion biomedica hospital universitario clinico san carlos";28;"NIF MCIN"
4573;"GENBIOMA APLICACIONES SL";"ACT_NAC";484562;"genbioma aplicaciones sl";"B71377428";"1";"GENBIOMA APLICACIONES SL";"genbioma aplicaciones sl";"29999";"";"724,0000";"";"";"";"genbioma aplicaciones sl";31;"NIF MCIN"
861;"UNIVERSIDAD DE MURCIA";"ACT_NAC";752426;"universidad de murcia";"Q3018001B";"1";"FACULTAD DE QUIMICA";"facultad de quimica";"20101";"";"724,0000";"";"";"";"universidad de murcia";30;"NIF MCIN"
861;"UNIVERSIDAD DE MURCIA";"ACT_NAC";458313;"universidad de murcia";"Q3018001B";"1";"FACULTAD DE VETERINARIA";"facultad de veterinaria";"20101";"";"724,0000";"";"";"";"universidad de murcia";30;"NIF MCIN"
861;"UNIVERSIDAD DE MURCIA";"ACT_NAC";134283;"universidad de murcia";"Q3018001B";"1";"LAIB. IMIB (Instituto Murciano de Investigaciones Biomédicas)";"laib imib instituto murciano de investigaciones biomedicas";"20101";"";"724,0000";"";"";"";"universidad de murcia";30;"NIF MCIN"
883;"CENTRO DE ENSEÑANZA UNIVERSITARIA SEK, S. A.";"ACT_NAC";288992;"centro de ensenanza universitaria sek s a";"A79336947";"1";"CENTRO DE ENSEÑANZA UNIVERSITARIA SEK, S. A.";"centro de ensenanza universitaria sek s a";"20102";"";"724,0000";"";"";"";"universidad camilo jose cela";28;"NIF MCIN"
975;"FUNDACIO CENTRE DE REGULACIO GENOMICA";"ACT_NAC";322087;"fundacio centre de regulacio genomica";"G62426937";"1";"AGR-FUNDACIO PRIVADA CENTRE DE REGULACIO GENOMICA";"agr fundacio privada centre de regulacio genomica";"20510";"";"724,0000";"";"";"";"centre de regulacio genomica";8;"NIF MCIN"
237;"AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC)";"ACT_NAC";566117;"agencia estatal consejo superior de investigaciones cientificas csic";"Q2818002D";"1";"INSTITUTO CAJAL (ACTUAL)";"instituto cajal actual";"20501";"";"724,0000";"";"";"";"consejo superior de investigaciones cientificas csic";28;"NIF MCIN"
870;"UNIVERSITAT POMPEU FABRA CCT";"ACT_NAC";447941;"universitat pompeu fabra cct";"Q5850017D";"1";"DPTO. DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES";"dpto de tecnologias de la informacion y las comunicaciones";"20101";"";"724,0000";"";"";"";"universidad pompeu fabra";8;"NIF MCIN"
237;"Agencia Estatal Consejo Superior de Investigaciones Científicas";"ACT_NAC";540810;"agencia estatal consejo superior de investigaciones cientificas";"Q2818002D";"1";"77";"77";"20501";"";"724,0000";"";"";"";"consejo superior de investigaciones cientificas csic";28;"NIF MCIN"
875;"UNIVERSIDADE DE SANTIAGO DE COMPOSTELA";"ACT_NAC";460343;"universidade de santiago de compostela";"Q1518001A";"1";"ESCUELA POLITECNICA SUPERIOR. LUGO";"escuela politecnica superior lugo";"20101";"";"724,0000";"";"";"";"universidad de santiago de compostela";15;"NIF MCIN"
1873;"FUNDACION INSTITUTO DE INVESTIGACION MARQUES DE VALDECILLA (IDIVAL)";"ACT_NAC";31590;"fundacion instituto de investigacion marques de valdecilla idival";"G39788773";"1";"SERVICIO CANTABRO DE SALUD";"servicio cantabro de salud";"20502";"";"724,0000";"";"";"";"fundacion instituto de investigacion marques de valdecilla";39;"NIF MCIN"
258;"FUNDACION IMDEA NETWORKS";"ACT_NAC";647006;"fundacion imdea networks";"G84912708";"1";"AGR-FUNDACION IMDEA NETWORKS";"agr fundacion imdea networks";"29999";"";"724,0000";"";"";"";"fundacion imdea networks";28;"NIF MCIN"
849;"Universitat de les Illes Balears";"ACT_NAC";578763;"universitat de les illes balears";"Q0718001A";"1";"Universitat de les Illes Balears";"universitat de les illes balears";"20101";"";"724,0000";"";"";"";"universitat de les illes balears";7;"NIF MCIN"
859;"UNIVERSIDAD DE MALAGA";"ACT_NAC";341928;"universidad de malaga";"Q2918001E";"1";"77";"77";"20101";"";"724,0000";"";"";"";"universidad de malaga";29;"NIF MCIN"
1861;"Fundación para la Investigación Biomédica del Hospital Universitario 12 de Octubre";"ACT_NAC";30929;"fundacion para la investigacion biomedica del hospital universitario 12 de octubre";"G83727016";"1";"HOSPITAL 12 DE OCTUBRE";"hospital 12 de octubre";"29900";"";"724,0000";"";"";"";"fundacion para la investigacion biomedica del hospital universitario doce de octubre";28;"NIF MCIN"
237;"AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC)";"ACT_NAC";546317;"agencia estatal consejo superior de investigaciones cientificas csic";"Q2818002D";"1";"INSTITUTO DE CIENCIA Y TECNOLOGIA DE POLIMEROS (ICTP)";"instituto de ciencia y tecnologia de polimeros ictp";"20501";"";"724,0000";"";"";"";"consejo superior de investigaciones cientificas csic";28;"NIF MCIN"
880;"Universidad de Zaragoza";"ACT_NAC";257572;"universidad de zaragoza";"Q5018001G";"1";"Universidad de Zaragoza";"universidad de zaragoza";"20101";"";"724,0000";"";"";"";"universidad de zaragoza";50;"NIF MCIN"
1850;"INSTITUTO DE INVESTIGACIONES BIOMEDICAS AUGUST PI I SUNYER (IDIBAPS)";"ACT_NAC";131139;"instituto de investigaciones biomedicas august pi i sunyer idibaps";"Q5856414G";"1";"INSTITUTO DE INVESTIGACIONES BIOMEDICAS AUGUST PI I SUNYER (IDIBAPS)";"instituto de investigaciones biomedicas august pi i sunyer idibaps";"20502";"";"724,0000";"";"";"";"consorci institut d investigacions biomediques august pi i sunyer";8;"NIF MCIN"
837;"UNIVERSIDAD DE BARCELONA";"ACT_NAC";478127;"universidad de barcelona";"Q0818001J";"1";"DEPARTAMENT D'HISTÒRIA I ARQUEOLOGIA";"departament d historia i arqueologia";"20101";"";"724,0000";"";"";"";"universitat de barcelona";8;"NIF MCIN"
876;"Universidad de Sevilla";"ACT_NAC";740121;"universidad de sevilla";"Q4118001I";"1";"Facultad de Biología";"facultad de biologia";"20101";"";"724,0000";"";"";"";"universidad de sevilla";41;"NIF MCIN"
1990;"FUNDACION PARA LA INVESTIGACION MEDICA A";"ACT_NAC";587823;"fundacion para la investigacion medica a";"G82198524";"1";"77";"77";"20502";"";"724,0000";"";"";"";"fundacion para la investigacion medica aplicada";31;"NIF MCIN"
869;"UNIVERSITAT POLITÈCNICA DE VALÈNCIA";"ACT_NAC";331526;"universitat politecnica de valencia";"Q4618002B";"1";"77";"77";"20101";"";"724,0000";"";"";"";"universitat politecnica de valencia";46;"NIF MCIN"
878;"Universidad de Valladolid";"ACT_NAC";347037;"universidad de valladolid";"Q4718001C";"1";"Facultad de Ciencias";"facultad de ciencias";"20101";"";"724,0000";"";"";"";"universidad de valladolid";47;"NIF MCIN"
1861;"FUNDACION INVESTIGACION BIOMEDICA HOSPITAL 12 DE OCTUBRE";"ACT_NAC";207974;"fundacion investigacion biomedica hospital 12 de octubre";"G83727016";"1";"INSTITUTO DE INVESTIGACION HOSPITAL 12 DE OCTUBRE (i+12)";"instituto de investigacion hospital 12 de octubre i 12";"20502";"";"724,0000";"";"";"";"fundacion para la investigacion biomedica del hospital universitario doce de octubre";28;"NIF MCIN"
251;"CENTRO DE INVESTIGACION ENERGETICA MEDIOAMBIENTAL Y TECNOLOGICA (CIEMAT)";"ACT_NAC";705813;"centro de investigacion energetica medioambiental y tecnologica ciemat";"Q2820002J";"1";"DPTO. DE MEDIO AMBIENTE";"dpto de medio ambiente";"20501";"";"724,0000";"";"";"";"centro de investigaciones energeticas medioambientales y tecnologicas ciemat";28;"NIF MCIN"
2683;"GROUPIEST SOCIAL SOCIEDAD LIMITADA";"ACT_NAC";597310;"groupiest social sociedad limitada";"B65679383";"1";"GROUPIEST SOCIAL SOCIEDAD LIMITADA";"groupiest social sociedad limitada";"29999";"";"724,0000";"";"";"";"groupiest social sociedad limitada";8;"NIF MCIN"
664;"INSTITUTO TECNOLOGICO DE LA ENERGIA";"ACT_NAC";180349;"instituto tecnologico de la energia";"G96316476";"1";"ITE, INSTITUTO TECNOLOGICO DE LA ENERGIA";"ite instituto tecnologico de la energia";"22001";"";"724,0000";"";"";"";"instituto tecnologico de la energia";46;"NIF MCIN"
833;"UNIVERSIDAD DE ALICANTE";"ACT_NAC";547445;"universidad de alicante";"Q0332001G";"1";"UNIVERSIDAD DE ALICANTE";"universidad de alicante";"20101";"";"724,0000";"";"";"";"universidad de alicante";3;"NIF MCIN"
843;"Universidad Complutense de Madrid";"ACT_NAC";542796;"universidad complutense de madrid";"Q2818014I";"1";"77";"77";"20101";"";"724,0000";"";"";"";"universidad complutense de madrid";28;"NIF MCIN"
879;"Universidad de Vigo";"ACT_NAC";347745;"universidad de vigo";"Q8650002B";"1";"Facultad de Ciencias Jurídicas y del Tra";"facultad de ciencias juridicas y del tra";"20101";"";"724,0000";"";"";"";"universidad de vigo";36;"NIF MCIN"
989;"FUNDACION IMDEA NANOCIENCIA";"ACT_NAC";751171;"fundacion imdea nanociencia";"G84909068";"1";"INSTITUTO MADRILEÑO DE ESTUDIOS AVANZADOS EN NANOCIENCIA";"instituto madrileno de estudios avanzados en nanociencia";"20507";"";"724,0000";"";"";"";"fundacion imdea nanociencia";28;"NIF MCIN"
1858;"Fundación Instituto de Investigación Sanitaria de la Fundación Jiménez Díaz";"ACT_NAC";91252;"fundacion instituto de investigacion sanitaria de la fundacion jimenez diaz";"G85874949";"1";"77";"77";"20502";"";"724,0000";"";"";"";"fundacion instituto de investigacion sanitaria fundacion jimenez diaz";28;"NIF MCIN"
290;"ACHUCARRO BASQUE CENTER FOR NEUROSCIENCE FUNDAZIOA";"ACT_NAC";24659;"achucarro basque center for neuroscience fundazioa";"G95686051";"1";"FUNDACION ACHUCARRO BASQUE CENTER FOR NEUROSCIENCE FUNDAZIOA";"fundacion achucarro basque center for neuroscience fundazioa";"20510";"";"724,0000";"";"";"";"achucarro basque center for neuroscience";48;"NIF MCIN"
835;"UNIVERSIDAD AUTONOMA DE BARCELONA";"ACT_NAC";476872;"universidad autonoma de barcelona";"Q0818002H";"1";"UNIVERSIDAD AUTONOMA DE BARCELONA";"universidad autonoma de barcelona";"20101";"";"724,0000";"";"";"";"universidad autonoma de barcelona";8;"NIF MCIN"
854;"UNIVERSIDAD DE LA LAGUNA";"ACT_NAC";455715;"universidad de la laguna";"Q3818001D";"1";"DEPARTAMENTO DE GEOGRAFÍA E HISTORIA";"departamento de geografia e historia";"20101";"";"724,0000";"";"";"";"universidad de la laguna";38;"NIF MCIN"
835;"UNIVERSIDAD AUTONOMA DE BARCELONA";"ACT_NAC";710309;"universidad autonoma de barcelona";"Q0818002H";"1";"FACULTAD DE CIENCIAS";"facultad de ciencias";"20101";"";"724,0000";"";"";"";"universidad autonoma de barcelona";8;"NIF MCIN"
